Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\ESP32 With USB C\Project Outputs for ESP32 With USB C\Pick Place\Pick Place for ESP32 with USB C(Prototype).csv

========================================================================================================================
File Design Information:

Date:       18-11-25
Time:       14:42
Revision:   Not in VersionControl
Variant:    Prototype
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C15","100nF, 50V","TopLayer","CAPC1005X65N","2555.000","850.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0402 inch"
"U3","TL1963A-33DCYR","TopLayer","DCY0004A_N","780.000","290.000","0","IC REG LIN 3.3V 1.5A SOT-223-4"
"U2","FT231XQ-R","TopLayer","FP-QFN-20-IPC_B","710.000","770.000","270","IC USB SERIAL FULL UART 20QFN"
"U1","ESP32-S3-MINI-1-N8","TopLayer","XCVR_ESP32-S3-MINI-1-N8","2395.039","500.000","270","SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"
"SW2","Tactile Switch 1","TopLayer","SWITCH_43SMTR92LFS","1400.000","750.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW1","Tactile Switch 1","TopLayer","SWITCH_43SMTR92LFS","1400.000","250.000","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R24","0R","TopLayer","RESC1005X37N","1935.000","445.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R23","0R","TopLayer","RESC1005X37N","1935.984","518.000","0","RES 0 OHM JUMPER 1/16W 0402"
"R22","27R","TopLayer","RESC1005X37N","1975.000","785.000","0","RES 27 OHM 1% 1/16W 0402"
"R21","0R","TopLayer","RESC1005X37N","2135.000","145.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R20","10K","TopLayer","RESC1005X37N","1005.000","825.000","90","RES 10K OHM 1% 1/16W 0402"
"R19","0R","TopLayer","RESC1005X37N","2040.000","145.000","180","RES 0 OHM JUMPER 1/16W 0402"
"R18","27R","TopLayer","RESC1005X37N","1975.000","835.000","0","RES 27 OHM 1% 1/16W 0402"
"R17","10K","TopLayer","RESC1005X37N","1000.000","650.000","270","RES 10K OHM 1% 1/16W 0402"
"R16","10K","TopLayer","RESC1005X37N","1645.000","295.000","90","RES 10K OHM 1% 1/16W 0402"
"R15","5K1","TopLayer","RESC1005X37N","410.000","255.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R14","5K1","TopLayer","RESC1005X37N","410.000","150.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R13","10K","TopLayer","RESC1005X37N","890.000","610.000","180","RES 10K OHM 1% 1/16W 0402"
"R12","5K1","TopLayer","RESC1005X37N","410.000","830.000","270","RES SMD 5.1K OHM 1% 1/16W 0402"
"R11","5K1","TopLayer","RESC1005X37N","410.000","730.000","90","RES SMD 5.1K OHM 1% 1/16W 0402"
"R10","4k7,","TopLayer","RESC1005X37N","890.000","660.000","0","RES 4.7K OHM 1% 1/16W 0402"
"R8","0R","TopLayer","RESC1005X37N","590.000","590.000","90","RES 0 OHM JUMPER 1/16W 0402"
"R7","27R","TopLayer","RESC1005X37N","532.008","795.000","0","RES 27 OHM 1% 1/16W 0402"
"R6","1K","TopLayer","RESC1005X37N","1790.000","800.000","270","RES 1K OHM 1% 1/16W 0402"
"R5","1K","TopLayer","RESC1005X37N","1795.000","202.992","90","RES 1K OHM 1% 1/16W 0402"
"R4","27R","TopLayer","RESC1005X37N","532.008","740.000","0","RES 27 OHM 1% 1/16W 0402"
"R1","0R","TopLayer","RESC1005X37N","705.984","500.000","0","RES 0 OHM JUMPER 1/16W 0402"
"Q2","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1110.000","805.000","0","TRANS NPN 25V 1.5A SOT-23-3"
"Q1","SS8050-G","TopLayer","FP-SS8050-G-IPC_B","1110.000","665.000","0","TRANS NPN 25V 1.5A SOT-23-3"
"J6","FTS-103-01-F-S","TopLayer","HDR_1X3_1.27MM","375.000","500.000","0","CONN HEADER VERT 3POS 1.27MM"
"J5","FTS-102-01-F-S","TopLayer","HDR_1X2_1.27MM","1400.000","500.000","90","CONN HEADER VERT 2POS 1.27MM"
"J4","217179-0001","TopLayer","FP-2171790001-MFG","157.579","220.079","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J3","217179-0001","TopLayer","FP-2171790001-MFG","157.579","779.921","270","CONN RCP USB2.0 TYP C 24P SMD RA"
"J2","22-28-4245","BottomLayer","HDR_1X24_2.54MM","1500.000","50.000","90","CONN HEADER VERT 24POS 2.54MM"
"J1","22-28-4245","BottomLayer","HDR_1X24_2.54MM","1500.000","950.000","90","CONN HEADER VERT 24POS 2.54MM"
"D8","AQ3045-01ETG","TopLayer","SOD882","335.000","167.205","90","TVS DIODE 5.3VWM 12VC SOD882"
"D7","AQ3045-01ETG","TopLayer","SOD882","335.000","235.000","270","TVS DIODE 5.3VWM 12VC SOD882"
"D6","AQ3045-01ETG","TopLayer","SOD882","340.000","370.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D5","AQ3045-01ETG","TopLayer","SOD882","335.000","737.205","90","TVS DIODE 5.3VWM 12VC SOD882"
"D4","AQ3045-01ETG","TopLayer","SOD882","335.000","822.795","270","TVS DIODE 5.3VWM 12VC SOD882"
"D3","AQ3045-01ETG","TopLayer","SOD882","340.000","630.000","0","TVS DIODE 5.3VWM 12VC SOD882"
"D2","RED","TopLayer","LED0402R","1730.000","800.000","270","LED RED 0402 SMD"
"D1","GREEN","TopLayer","LED0402G","1730.000","200.000","90","LED YLW-GRN 0402 SMD"
"C16","1uF, 35V","TopLayer","CAPC1005X65N","1645.000","200.000","270","CAP CER 1UF 35V X5R 0402"
"C14","10uf, 10V","TopLayer","CAPC1005X65N","2460.000","850.000","0","CAP CER 10UF 10V X5R 0402"
"C13","10uf, 10V","TopLayer","CAPC1005X65N","525.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C12","10uf, 10V","TopLayer","CAPC1005X65N","580.000","220.000","270","CAP CER 10UF 10V X5R 0402"
"C11","4u7, 16V","TopLayer","CAPC1005X65N","580.000","360.000","90","CAP CER 4.7UF 16V X5R 0402"
"C10","100nF, 50V","TopLayer","CAPC1005X65N","535.000","855.000","0","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0402 inch"
"C9","100nF, 50V","TopLayer","CAPC1005X65N","455.000","370.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0402 inch"
"C8","100nF, 50V","TopLayer","CAPC1005X65N","2635.000","135.000","0","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0402 inch"
"C7","100nF, 50V","TopLayer","CAPC1005X65N","2650.000","850.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0402 inch"
"C6","100nF, 50V","TopLayer","CAPC1005X65N","535.000","685.000","0","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0402 inch"
"C4","100nF, 50V","TopLayer","CAPC1005X65N","910.000","800.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0402 inch"
"C3","100nF, 50V","TopLayer","CAPC1005X65N","447.205","630.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0402 inch"
"C2","4u7, 16V","TopLayer","CAPC1005X65N","740.000","610.000","180","CAP CER 4.7UF 16V X5R 0402"
"C1","100nF, 50V","TopLayer","CAPC1005X65N","740.000","555.000","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0402 inch"
